Referentie;Thema;Categorie;Aanvrager Naam;Adres;Postcode;Plaats lokatie;Provincie;Power [MW];Available production per year [MWh];Lifespan [jr.];Maximale subsidie [€];Opstelling Zon-pv;;
SDE1920842;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Markus Groep B.V.;Leeweg 2;1161AB;ZWANENBURG;Noord-Holland; 0,18 ; 171 ;15; 166.725 ; Daksysteem ;;
SDE1920844;Zon;2019 Zon-PV >= 1 MWp daksystemen;Can-Pack Netherlands B.V.;Maisdijk 9;5704RM;HELMOND;Noord-Brabant; 3,54 ; 3.366 ;15; 3.282.075 ; Daksysteem ;;
SDE1920845;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Midden-Holland Beheer B.V.;Traa 3;3781NS;VOORTHUIZEN;Gelderland; 0,07 ; 67 ;15; 64.838 ; Daksysteem ;;
SDE1920847;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;In 't Hout B.V.;Maliestraat 2;3581SL;UTRECHT;Utrecht; 0,02 ; 22 ;15; 21.411 ; Daksysteem ;;
SDE1920848;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;De Klerk Vastgoed B.V.;Beyerinckweg 6;4251LP;WERKENDAM;Noord-Brabant; 0,09 ; 86 ;15; 83.363 ; Daksysteem ;;
SDE1920849;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Dôme Vastgoed Wassenaar B.V.;Binnenzeestraat 9;1446AB;PURMEREND;Noord-Holland; 0,14 ; 128 ;15; 125.044 ; Daksysteem ;;
SDE1920856;Zon;2019 Zon-PV >= 1 MWp daksystemen;Eneco Solar, Bio & Hydro B.V.;Ruijgoordweg 140;1047HM;AMSTERDAM;Noord-Holland; 3,10 ; 2.945 ;15; 2.871.375 ; Daksysteem ;;
SDE1920861;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);***;***;8102**;RAALTE;Overijssel; 1,00 ; 3.000 ;12; 1.224.000 ; n.v.t. ;;
SDE1920872;Zon warmte;2019 Zonthermie >= 1 MW;Herstructureringsmaatschappij Bedrijventerreinen Overijssel N.V.;Enschedesestraat 2;7575AB;OLDENZAAL;Overijssel; 1,02 ; 712 ;15; 704.533 ; n.v.t. ;;
SDE1920883;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Houten Oostrumsdijkje B.V.;Houten Oostrumsdijkje;-;HOUTEN;Utrecht; 16,43 ; 15.606 ;15; 14.045.085 ; Veldsysteem ;;
SDE1920896;Wind op land;2019 Wind op land;Windpark Goyerbrug B.V.;Windpark Goyerbrug - turbine 4;-;HOUTEN;Utrecht; 5,60 ; 22.289 ;15; 14.042.070 ; n.v.t. ;;
SDE1920902;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;A.K. Holding B.V.;Ierlandstraat ongenummerd;5171PD;KAATSHEUVEL;Noord-Brabant; 0,08 ; 74 ;15; 71.136 ; Daksysteem ;;
SDE1920907;Zon;2019 Zon-PV >= 1 MWp daksystemen;International Solar B.V.;Erik de Rodeweg 7;5975WD;SEVENUM;Limburg; 11,32 ; 10.755 ;15; 10.486.077 ; Daksysteem ;;
SDE1920955;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Kennis Vastgoed B.V.;Hazeldonk 6809;4836LK;BREDA;Noord-Brabant; 0,96 ; 914 ;15; 891.238 ; Daksysteem ;;
SDE1920960;Wind op land;2019 Wind op land;Stichting De Omslag;Oude-Dijk 7;9981TH;UITHUIZEN;Groningen; 0,02 ; 27 ;15; 11.745 ; n.v.t. ;;
SDE1920970;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;SO Leij B.V.;Grote Adriana Theodorapolder 3;3257LG;OOLTGENSPLAAT;Zuid-Holland;0,11; 101 ;15; 96.855 ; Daksysteem ;;
SDE1920975;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Mostert en De Vrij B.V.;Fliererf 4;3861ZZ;NIJKERK GLD;Gelderland; 0,31 ; 292 ;15; 284.359 ; Daksysteem ;;
SDE1920979;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Sinke Vastgoed B.V.;Nishoek 28;4416PE;KRUININGEN;Zeeland; 0,93 ; 884 ;15; 861.413 ; Daksysteem ;;
SDE1920982;Zon warmte;2019 Zonthermie >= 140 kW en < 1 MW;***;***;7547**;ENSCHEDE;Overijssel; 0,14 ; 98 ;15; 95.550 ; n.v.t. ;;
