Referentie;Thema;Categorie;Aanvrager Naam;Adres;Postcode;Plaats lokatie;Provincie;Power [MW];Available production per year [MWh];Lifespan [jr.];Maximale subsidie [€];Opstelling Zon-pv;;
SDE1920991;Wind op land;2019 Wind op land;***;***;7722**;DALFSEN;Overijssel; 0,02 ; 19 ;15; 11.115 ; n.v.t. ;;
SDE1921008;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Automobielbedrijf Velserbeek Holding B.V.;Kleermakerstraat 71;1991JL;VELSERBROEK;Noord-Holland; 0,04 ; 40 ;15; 38.903 ; Daksysteem ;;
SDE1921014;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Van Riemsdijkweg 76-78;3088HD;ROTTERDAM;Zuid-Holland;0,04; 34 ;15; 33.415 ; Daksysteem ;;
SDE1921015;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Siva B.V.;Kloosterstraat 66;6369AE;SIMPELVELD;Limburg; 0,09 ; 81 ;15; 78.732 ; Daksysteem ;;
SDE1921017;Wind op land;2019 Wind op land;Windpark XY Wind B.V.;XY3;-;DRONTEN;Flevoland; 16,80 ; 67.130 ;15; 39.271.050 ; n.v.t. ;;
SDE1921018;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Oudenhoorn B.V.;Langs het Kooisteebos;-;OUDENHOORN;Zuid-Holland;25,00; 23.750 ;15; 21.375.000 ; Veldsysteem ;;
SDE1921020;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;De Zeeuw Vastgoed B.V.;Richard Holstraat 1;8915AP;LEEUWARDEN;Friesland; 0,27 ; 253 ;15; 246.753 ; Daksysteem ;;
SDE1921024;Wind op land;2019 Wind op land;***;***;9903**;APPINGEDAM;Groningen; 0,03 ; 73 ;15; 35.937 ; n.v.t. ;;
SDE1921029;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Coöperatieve Rabobank UA;Galvanistraat 2;6716AE;EDE GLD;Gelderland; 0,04 ; 38 ;15; 37.050 ; Daksysteem ;;
SDE1921032;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;NPO;Bart de Graaffweg 2;1217ZL;HILVERSUM;Noord-Holland; 0,15 ; 143 ;15; 138.938 ; Daksysteem ;;
SDE1921033;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;I. Stel Beheer B.V.;Bandertlaan 9;6101NL;ECHT;Limburg; 0,24 ; 227 ;15; 221.745 ; Daksysteem ;;
SDE1921047;Wind op land;2019 Wind op land;Windpark Flevo Ventum B.V.;FV2;-;DRONTEN;Flevoland; 11,20 ; 43.867 ;15; 25.662.195 ; n.v.t. ;;
SDE1921051;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;F.J. Wemerman B.V.;Koppelstraat 15;7391AK;TWELLO;Gelderland; 0,12 ; 114 ;15; 111.150 ; Daksysteem ;;
SDE1921068;Zon;2019 Zon-PV >= 1 MWp daksystemen;Ilovezonnepanelen B.V.;Ringdijk 378;2983GS;RIDDERKERK;Zuid-Holland;4,14; 3.937 ;15; 3.838.380 ; Daksysteem ;;
SDE1921071;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;A.C. van Blijderveen Beheer B.V.;Culekampseweg 4;4031JG;INGEN;Gelderland; 0,86 ; 818 ;15; 797.780 ; Daksysteem ;;
SDE1921073;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Pathé Theatres B.V.;Gedempte Zuiderdiep 78;9711HL;GRONINGEN;Groningen; 0,22 ; 213 ;15; 207.388 ; Daksysteem ;;
SDE1921086;Wind op land;2019 Wind op land;***;***;9937**;MEEDHUIZEN;Groningen; 0,02 ; 30 ;15; 14.850 ; n.v.t. ;;
SDE1921094;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;De Schakel 2;5261LL;VUGHT;Noord-Brabant; 0,42 ; 403 ;15; 392.730 ; Daksysteem ;;
SDE1921103;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Kraanbedrijf Nederhoff B.V.;Burgemeester van Reenensingel 121;2803PA;GOUDA;Zuid-Holland;0,03; 31 ;15; 29.626 ; Daksysteem ;;
SDE1921106;Wind op land;2019 Wind op land;***;***;8105**;LUTTENBERG;Overijssel; 0,02 ; 37 ;15; 23.012 ; n.v.t. ;;
SDE1921118;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Broekman Agro B.V.;Turnhoutseweg 5;5438NR;GASSEL;Noord-Brabant; 0,26 ; 250 ;15; 243.604 ; Daksysteem ;;
SDE1921119;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;De Groene Weuste B.V.;Wetering 1;7641LG;WIERDEN;Overijssel; 1,50 ; 1.425 ;15; 1.282.500 ; Veldsysteem ;;
SDE1921139;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;4316**;ZONNEMAIRE;Zeeland; 0,44 ; 420 ;15; 403.104 ; Daksysteem ;;
SDE1921155;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6744**;EDERVEEN;Gelderland; 0,36 ; 342 ;15; 333.450 ; Daksysteem ;;
SDE1921182;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Industriepark Kleefse Waard Real Estate B.V.;Westervoortsedijk 73;6827AV;ARNHEM;Gelderland; 0,20 ; 185 ;15; 180.619 ; Daksysteem ;;
SDE1921190;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Engelseweg 217;5705AE;HELMOND;Noord-Brabant; 0,53 ; 499 ;15; 486.282 ; Daksysteem ;;
SDE1921198;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;1382**;WEESP;Noord-Holland; 0,24 ; 228 ;15; 218.880 ; Daksysteem ;;
SDE1921201;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Wasserij Katwoude;Nijverheidstraat 27-31;1135GE;EDAM;Noord-Holland; 0,19 ; 184 ;15; 179.730 ; Daksysteem ;;
SDE1921221;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE DHC Leiden (Haarlemmerstraat) B.V.;Haarlemmerstraat 130;2312GE;LEIDEN;Zuid-Holland;0,06; 57 ;15; 53.865 ; Daksysteem ;;
SDE1921223;Wind op land;2019 Wind op land;***;***;9977**;KLOOSTERBUREN;Groningen; 0,02 ; 34 ;15; 14.573 ; n.v.t. ;;
SDE1921237;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Solar 2 Solar B.V.;Leemkolkweg 10;3985SL;WERKHOVEN;Utrecht; 0,32 ; 304 ;15; 291.840 ; Daksysteem ;;
SDE1921250;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Wijck B.V.;Zadelmakerstraat 140;1991JE;VELSERBROEK;Noord-Holland; 0,03 ; 26 ;15; 25.009 ; Daksysteem ;;
SDE1921258;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;LMB Rovadi B.V.;Loods Agrobaan;-;VENRAY;Limburg; 0,74 ; 705 ;15; 686.991 ; Daksysteem ;;
SDE1921261;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Junco B.V.;Zwartewaterallee 4;8031DX;ZWOLLE;Overijssel; 0,17 ; 164 ;15; 157.776 ; Daksysteem ;;
SDE1921273;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Inspectorate B.V.;Capriweg 40;1044AL;AMSTERDAM;Noord-Holland; 0,11 ; 100 ;15; 97.257 ; Daksysteem ;;
SDE1921279;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Decor Onroerend Goed B.V.;Ekkersrijt 1411;5692AL;SON EN BREUGEL;Noord-Brabant; 0,50 ; 475 ;15; 463.080 ; Daksysteem ;;
SDE1921283;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;C.J. Hoogendoorn Moerkapelle Beheer B.V.;2e Tochtweg 102;2913LS;NIEUWERKERK AAN DEN IJSSEL;Zuid-Holland;0,08; 73 ;15; 70.224 ; Daksysteem ;;
SDE1921288;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;De Stoven 47;7206AZ;ZUTPHEN;Gelderland; 0,32 ; 301 ;15; 293.622 ; Daksysteem ;;
SDE1921296;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Coöperatieve Vereniging Solar Green Point Haarlemmermeer U.A.;Kruizemuntweg 37;1435DD;RIJSENHOUT;Noord-Holland; 0,20 ; 190 ;15; 185.250 ; Veldsysteem ;;
SDE1921302;Zon;2019 Zon-PV >= 1 MWp daksystemen;Eneco Solar, Bio & Hydro B.V.;Merwedestraat 44;5347KW;OSS;Noord-Brabant; 1,55 ; 1.475 ;15; 1.438.467 ; Daksysteem ;;
SDE1921327;Geothermie warmte;2019 Geothermie diepte >= 500 m (HW);Haagse Aardwarmte Leyweg B.V.;Nieuwkoopseweg 6;2631PR;NOOTDORP;Zuid-Holland; 20,60 ; 123.600 ;15; 72.306.000 ; n.v.t. ;;
SDE1921331;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Elkerzee B.V.;De Lelie 18;4322NP;SCHARENDIJKE;Zeeland; 0,09 ; 86 ;15; 83.363 ; Daksysteem ;;
SDE1921344;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Gründmann Beheer B.V.;Kaagweg 19;1741LC;SCHAGEN;Noord-Holland; 0,07 ; 67 ;15; 64.838 ; Daksysteem ;;
SDE1921375;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Lightsource Renewable Energy Nederland Holdings B.V.;Zonneweide Technopark;-;SLUIS;Zeeland; 3,35 ; 3.181 ;15; 2.957.958 ; Veldsysteem ;;
SDE1921382;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Spitsbergen B.V.;Europaweg 200;7336AR;APELDOORN;Gelderland; 0,50 ; 474 ;15; 462.199 ; Daksysteem ;;
SDE1921390;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Sunvest Ontwikkeling B.V.;Zonnepark Lievelde;-;LICHTENVOORDE;Gelderland; 12,00 ; 11.400 ;15; 10.431.000 ; Veldsysteem ;;
SDE1921397;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5156**;OUDHEUSDEN;Noord-Brabant; 0,94 ; 893 ;15; 870.675 ; Daksysteem ;;
SDE1921406;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5446**;WANROIJ;Noord-Brabant; 0,36 ; 342 ;15; 333.450 ; Daksysteem ;;
SDE1921412;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Ambachtsweg 24;6562AV;GROESBEEK;Gelderland; 0,21 ; 200 ;15; 194.513 ; Daksysteem ;;
SDE1921415;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Theo Mulder B.V.;Laan van Verhof 2;2231BZ;RIJNSBURG;Zuid-Holland;0,16; 155 ;15; 146.334 ; Daksysteem ;;
SDE1921422;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;De Jong Verpakking;Jogchem van der Houtweg 48d;2678HA;DE LIER;Zuid-Holland;0,45; 428 ;15; 416.813 ; Daksysteem ;;
SDE1921424;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;SPNRG 1 B.V.;Solarpark Evertkreekweg;-;ROOSENDAAL;Noord-Brabant; 34,50 ; 32.775 ;15; 29.497.500 ; Veldsysteem ;;
SDE1921440;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Vitol Netherlands Coöperatief U.A.;K.P. van der Mandelelaan 130;3062MB;ROTTERDAM;Zuid-Holland;0,08; 74 ;15; 72.248 ; Daksysteem ;;
SDE1921441;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Elim;Koenestraat 128;3958XB;AMERONGEN;Utrecht; 0,10 ; 97 ;15; 94.848 ; Daksysteem ;;
SDE1921455;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;H & M Holding B.V.;Beeksedijk 10;5421XC;GEMERT;Noord-Brabant; 0,78 ; 736 ;15; 717.844 ; Daksysteem ;;
SDE1921464;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Coevorderkanaal B.V.;Zonnepark Coevorderkanaal;-;COEVORDEN;Drenthe; 13,12 ; 12.464 ;15; 11.778.480 ; Veldsysteem ;;
SDE1921465;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;1704**;HEERHUGOWAARD;Noord-Holland; 0,25 ; 238 ;15; 228.000 ; Daksysteem ;;
SDE1921470;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);Hoekman Houtindustrie Rijssen B.V.;Spinnerstraat 19;7461TV;RIJSSEN;Overijssel; 1,50 ; 3.546 ;12; 1.446.768 ; n.v.t. ;;
SDE1921477;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Laan van de Dierenriem 52;7324AA;APELDOORN;Gelderland; 0,89 ; 844 ;15; 822.510 ; Daksysteem ;;
SDE1921492;Zon;2019 Zon-PV >= 1 MWp daksystemen;De Jong Verpakking;Jogchem van der Houtweg 90;2678HA;DE LIER;Zuid-Holland;2,60; 2.470 ;15; 2.408.250 ; Daksysteem ;;
SDE1921493;Zon;2019 Zon-PV >= 1 MWp daksystemen;Van Berlo Vastgoed Veghel 3 B.V.;Doornhoek 3725;5465TA;VEGHEL;Noord-Brabant; 2,00 ; 1.900 ;15; 1.852.500 ; Daksysteem ;;
SDE1921494;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Eierfarm De Zoom B.V.;Heltenbosdijk 2a;6006RZ;WEERT;Limburg; 0,50 ; 474 ;15; 455.088 ; Daksysteem ;;
SDE1921500;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Groenleven;Schootsedijk 34;5491VC;SINT-OEDENRODE;Noord-Brabant; 11,10 ; 10.545 ;15; 9.965.025 ; Veldsysteem ;;
SDE1921501;Zon;2019 Zon-PV >= 1 MWp daksystemen;De Efteling B.V.;Europalaan 1b;5171KW;KAATSHEUVEL;Noord-Brabant; 4,81 ; 4.565 ;15; 4.450.632 ; Daksysteem ;;
SDE1921503;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6603**;WIJCHEN;Gelderland; 0,23 ; 223 ;15; 217.632 ; Daksysteem ;;
SDE1921512;Zon warmte;2019 Zonthermie >= 140 kW en < 1 MW;Talis;Buffelstraat 1;6531RS;NIJMEGEN;Gelderland; 0,35 ; 245 ;15; 238.875 ; n.v.t. ;;
SDE1921519;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Replato Naamplaten en Signalering B.V.;Van Weerden Poelmanweg 9;7602PC;ALMELO;Overijssel; 0,13 ; 122 ;15; 118.560 ; Daksysteem ;;
SDE1921532;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Dijkshoorn Bleiswijk B.V.;Overbuurtseweg 9;2665CA;BLEISWIJK;Zuid-Holland;0,27; 252 ;15; 246.012 ; Daksysteem ;;
SDE1921541;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;1606**;VENHUIZEN;Noord-Holland; 0,43 ; 404 ;15; 387.600 ; Daksysteem ;;
SDE1921555;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;C.E.J. Damen Beheer B.V.;Prinsenweg 2;2215RN;VOORHOUT;Zuid-Holland;0,77; 728 ;15; 709.415 ; Daksysteem ;;
SDE1921573;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Carrosseriebouw W. IJntema B.V.;Leeuwarderstraatweg 151a;8441PK;HEERENVEEN;Friesland; 0,06 ; 54 ;15; 52.797 ; Daksysteem ;;
SDE1921575;Wind op land;2019 Wind op land;Windpark Zeebiestocht II B.V.;ZBT3;-;DRONTEN;Flevoland; 11,20 ; 43.356 ;15; 25.363.260 ; n.v.t. ;;
SDE1921584;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;***;***;-;OOSTERWOLDE;Friesland; 14,52 ; 13.798 ;15; 13.038.921 ; Veldsysteem ;;
SDE1921585;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;IJssellandschap B.V.;Zonneweide Overkamp;-;OLST;Overijssel; 2,65 ; 2.518 ;15; 2.379.038 ; Veldsysteem ;;
SDE1921586;Zon;2019 Zon-PV >= 1 MWp daksystemen;Eneco Solar, Bio & Hydro B.V.;Basisweg 10;1043AP;AMSTERDAM;Noord-Holland; 1,30 ; 1.235 ;15; 1.204.125 ; Daksysteem ;;
SDE1921600;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;"Papierindustrie ""Maasmond"" B.V.";De Pinnepot 12;3233LP;OOSTVOORNE;Zuid-Holland;0,09; 84 ;15; 81.510 ; Daksysteem ;;
SDE1921611;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Swanenberg Vastgoed Beleggingen B.V.;Zeelandhaven 3;3433PL;NIEUWEGEIN;Utrecht; 0,83 ; 789 ;15; 768.788 ; Daksysteem ;;
SDE1921613;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Theo van Vliet Weesp B.V.;Rijnkade 10;1382GS;WEESP;Noord-Holland; 0,08 ; 71 ;15; 68.400 ; Daksysteem ;;
SDE1921615;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Confexx Bedrijven B.V.;Energieweg 9;2382NA;ZOETERWOUDE;Zuid-Holland;0,10; 98 ;15; 95.589 ; Daksysteem ;;
SDE1921621;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Pro Senectute (Voor de Ouderdom) Vastgoed B.V.;Donkerelaan 285;2061JZ;BLOEMENDAAL;Noord-Holland; 0,05 ; 51 ;15; 50.018 ; Daksysteem ;;
SDE1921627;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Electrotechnisch Bedrijf Lam B.V.;Grotestraat 26;6711AM;EDE GLD;Gelderland; 0,05 ; 43 ;15; 42.330 ; Daksysteem ;;
SDE1921638;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Zevij-Necomij B.V.;Touwslagerijweg 4;4906CS;OOSTERHOUT NB;Noord-Brabant; 0,08 ; 73 ;15; 69.951 ; Daksysteem ;;
SDE1921642;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Carpenter Investments B.V.;Hoofdstraat 208;7311BG;APELDOORN;Gelderland; 0,13 ; 127 ;15; 123.470 ; Daksysteem ;;
SDE1921644;Biomassa warmte;2019 Monomestvergisting > 400 kW (HW);***;***;5821**;VIERLINGSBEEK;Noord-Brabant; 0,70 ; 4.900 ;12; 2.704.800 ; n.v.t. ;;
SDE1921656;Wind op land;2019 Wind op land;***;***;9684**;FINSTERWOLDE;Groningen; 0,02 ; 29 ;15; 14.454 ; n.v.t. ;;
SDE1921671;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Sinner B.V.;Pampuslaan 42;1382JR;WEESP;Noord-Holland; 0,12 ; 114 ;15; 111.150 ; Daksysteem ;;
SDE1921677;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Vereniging van Eigenaars De Rondine Gebouw 2 te Amersfoort;De Bosuil 2cvz;3815XW;AMERSFOORT;Utrecht; 0,04 ; 42 ;15; 41.265 ; Daksysteem ;;
SDE1921689;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;KS NL5 B.V.;Zonnepark Goorseweg;-;LOCHEM;Gelderland; 3,50 ; 3.325 ;15; 3.042.375 ; Veldsysteem ;;
SDE1921701;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Bosch Brothers Beheer B.V.;Anjerweg 1;2665LM;BLEISWIJK;Zuid-Holland;0,44; 414 ;15; 403.382 ; Daksysteem ;;
SDE1921708;Zon;2019 Zon-PV >= 1 MWp daksystemen;Popal Holding B.V.;Huub van Doorneweg 2;5151DT;DRUNEN;Noord-Brabant; 1,90 ; 1.805 ;15; 1.759.875 ; Daksysteem ;;
SDE1921723;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6105**;MARIA HOOP;Limburg; 0,49 ; 466 ;15; 446.880 ; Daksysteem ;;
SDE1921725;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;ESK Holding B.V.;ESK Holding - veld locatie;-;HARLINGEN;Friesland; 1,95 ; 1.853 ;15; 1.750.613 ; Veldsysteem ;;
SDE1921743;Zon;2019 Zon-PV >= 1 MWp daksystemen;Grijze Poort B.V.;Wenckebachstraat 1;1951JZ;VELSEN-NOORD;Noord-Holland; 1,46 ; 1.388 ;15; 1.332.432 ; Daksysteem ;;
SDE1921745;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Van der Linden van Sprankhuizen Beheer B.V.;Brailleweg 8;8912BL;LEEUWARDEN;Friesland; 0,15 ; 143 ;15; 138.938 ; Daksysteem ;;
SDE1921754;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Postnl Real Estate B.V.;De Steenbok 2;5215ME;'S-HERTOGENBOSCH;Noord-Brabant; 0,42 ; 395 ;15; 379.392 ; Daksysteem ;;
SDE1921767;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting De Alliantie;Undinestraat 3by;3816GB;AMERSFOORT;Utrecht; 0,12 ; 118 ;15; 114.855 ; Daksysteem ;;
SDE1921774;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Alteveer B.V.;Barkelazwet 4nabij;9661TK;ONSTWEDDE;Groningen; 6,39 ; 6.070 ;15; 5.735.725 ; Veldsysteem ;;
SDE1921794;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Victoria Nederhorst den Berg B.V.;Rijnkade 12;1382GS;WEESP;Noord-Holland; 0,08 ; 71 ;15; 68.400 ; Daksysteem ;;
SDE1921797;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Eigen Thermen en Resort Group B.V.;Alphensebaan 17;4861RA;CHAAM;Noord-Brabant; 0,09 ; 86 ;15; 83.363 ; Daksysteem ;;
SDE1921798;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;NS Groep N.V.;Binckhorstlaan 46;2516BE;'S-GRAVENHAGE;Zuid-Holland;0,14; 133 ;15; 129.675 ; Daksysteem ;;
SDE1921810;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Handel- en Exploitatie Maatschappij Cas B.V.;Tamarixplantsoen 51;1702JB;HEERHUGOWAARD;Noord-Holland; 0,09 ; 89 ;15; 87.068 ; Daksysteem ;;
SDE1921811;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Eteck Warmte Maarsbergenstraat B.V.;Velperweg 49;6824BG;ARNHEM;Gelderland; 0,07 ; 70 ;15; 67.124 ; Daksysteem ;;
SDE1921821;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Munsterjansdijk B.V.;Zonnepark Munsterjansdijk-Berkelland;-;NEEDE;Gelderland; 14,30 ; 13.589 ;15; 12.433.752 ; Veldsysteem ;;
SDE1921824;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;De Hofjes 6;3241ML;MIDDELHARNIS;Zuid-Holland;0,33; 317 ;15; 309.368 ; Daksysteem ;;
SDE1921830;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Dura Vermeer Bouw Hengelo B.V.;Herman Gorterstraat 5;3511EW;UTRECHT;Utrecht; 0,36 ; 344 ;15; 335.303 ; Daksysteem ;;
SDE1921836;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE DHC Rotterdam (Beursplein) B.V.;Beursplein 2;3011AA;ROTTERDAM;Zuid-Holland;0,17; 160 ;15; 151.630 ; Daksysteem ;;
SDE1921837;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Leo Verhart Beheer B.V.;Karel Doormanweg 5;3115JD;SCHIEDAM;Zuid-Holland;0,06; 56 ;15; 54.649 ; Daksysteem ;;
SDE1921852;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Van den Berge Agri-Center B.V.;Oomshoekseweg 4;4416RG;KRUININGEN;Zeeland; 0,13 ; 120 ;15; 116.708 ; Daksysteem ;;
SDE1921853;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5756**;VLIERDEN;Noord-Brabant; 0,16 ; 152 ;15; 148.200 ; Daksysteem ;;
SDE1921855;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Locomotive Workshop Rotterdam B.V.;Sjelikowstraat 8;3199KT;MAASVLAKTE ROTTERDAM;Zuid-Holland;0,07; 67 ;15; 63.840 ; Daksysteem ;;
SDE1921866;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Varkenshandel Peters B.V.;Lageheiweg 9by;5364ND;ESCHAREN;Noord-Brabant; 0,18 ; 173 ;15; 165.984 ; Daksysteem ;;
SDE1921881;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;KS NL18 B.V.;Zonnepark Coevorden;-;COEVORDEN;Drenthe; 5,00 ; 4.750 ;15; 4.346.250 ; Veldsysteem ;;
SDE1921882;Zon;2019 Zon-PV >= 1 MWp daksystemen;W. Oskam en Zn. B.V.;Jacoba van Beierenweg 146a;2215KX;VOORHOUT;Zuid-Holland;1,11; 1.059 ;15; 1.032.251 ; Daksysteem ;;
SDE1921884;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting ASVZ;Laag Dalemseweg 70;4208BA;GORINCHEM;Zuid-Holland;0,04; 38 ;15; 36.190 ; Daksysteem ;;
SDE1921889;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Gieterijweg 3-17;3089JZ;ROTTERDAM;Zuid-Holland;0,49; 466 ;15; 454.095 ; Daksysteem ;;
SDE1921925;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Aarde Technologies B.V.;Provincialeweg 126;4909AM;OOSTEIND;Noord-Brabant; 0,25 ; 234 ;15; 227.858 ; Daksysteem ;;
SDE1921942;Wind op land;2019 Wind op land;***;***;9901**;APPINGEDAM;Groningen; 0,03 ; 73 ;15; 35.937 ; n.v.t. ;;
SDE1921951;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;S.V. Kadoelen;Vikingpad 44;1034VG;AMSTERDAM;Noord-Holland; 0,02 ; 20 ;15; 19.152 ; Daksysteem ;;
SDE1921955;Zon;2019 Zon-PV >= 1 MWp daksystemen;Stichtse Vecht Holding B.V.;Gageldijk 29;3602AG;MAARSSEN;Utrecht; 2,17 ; 2.064 ;15; 2.012.279 ; Daksysteem ;;
SDE1921956;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Zorggroep Noord- en Midden-Limburg;Auxiliatrixweg 35a;5915PN;VENLO;Limburg; 0,25 ; 238 ;15; 228.000 ; Daksysteem ;;
SDE1921957;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stg. Konot;Lariksstraat 11;7572DE;OLDENZAAL;Overijssel; 0,18 ; 174 ;15; 169.504 ; Daksysteem ;;
SDE1921959;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;3781**;VOORTHUIZEN;Gelderland; 0,16 ; 150 ;15; 146.302 ; Daksysteem ;;
SDE1921966;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5353**;DIEDEN;Noord-Brabant; 0,26 ; 247 ;15; 240.825 ; Daksysteem ;;
SDE1921968;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Celcees B.V.;Laan van Verhof 43;2231BZ;RIJNSBURG;Zuid-Holland;0,84; 798 ;15; 778.050 ; Daksysteem ;;
SDE1921970;Wind op land;2019 Wind op land;***;***;7722**;DALFSEN;Overijssel; 0,02 ; 50 ;15; 28.500 ; n.v.t. ;;
